key,line,col,old,new
table_24[near_native/DiffDock (raw)].inter_pct,686,48,48.2,48.5
table_24[near_native/DiffDock (raw)].mindist_pct,686,54,48.2,48.4
table_24[near_native/DiffDock + smina].poses,687,26,1715,2169
table_24[near_native/DiffDock + smina].valid_pct,687,32,94.6,95.3
table_24[near_native/DiffDock + smina].intra_pct,687,43,0.1,0.0
table_24[near_native/DiffDock + smina].inter_pct,687,48,5.4,4.6
table_24[near_native/DiffDock + smina].mindist_pct,687,53,5.4,4.6
table_24[near_native/DiffDock + gnina].poses,688,26,1716,2171
table_24[near_native/DiffDock + gnina].valid_pct,688,32,94.5,95.4
table_24[near_native/DiffDock + gnina].intra_pct,688,43,0.2,0.1
table_24[near_native/DiffDock + gnina].inter_pct,688,48,5.3,4.5
table_24[near_native/DiffDock + gnina].mindist_pct,688,53,5.2,4.4
table_24[near_native/EquiBind + smina].poses,690,26,453,465
table_24[near_native/EquiBind + smina].valid_pct,690,31,91.6,91.0
table_24[near_native/EquiBind + smina].inter_pct,690,47,8.2,8.8
table_24[near_native/EquiBind + smina].mindist_pct,690,52,8.2,8.8
table_24[near_native/EquiBind + gnina].poses,691,26,498,515
table_24[near_native/EquiBind + gnina].valid_pct,691,31,93.6,93.8
table_24[near_native/EquiBind + gnina].inter_pct,691,47,6.2,6.0
table_24[near_native/EquiBind + gnina].mindist_pct,691,52,6.2,6.0
table_21[AutoDock (gnina-opt) -> DiffDock (raw)].k1.base,719,49,37.3,49.8
table_21[AutoDock (gnina-opt) -> DiffDock (raw)].k1.comp,719,55,33.7,43.6
table_21[AutoDock (gnina-opt) -> DiffDock (raw)].k1.base_wins,719,61,62,77
table_21[AutoDock (gnina-opt) -> DiffDock (raw)].k1.comp_wins,719,65,51,58
table_21[AutoDock (gnina-opt) -> DiffDock (raw)].k1.p_holm,719,69,0.6938,0.2420
table_21[AutoDock (gnina-opt) -> DiffDock (raw)].k5.base,719,79,62.0,67.3
table_21[AutoDock (gnina-opt) -> DiffDock (raw)].k5.comp,719,85,44.6,50.2
table_21[AutoDock (gnina-opt) -> DiffDock (raw)].k5.base_wins,719,91,100,99
table_21[AutoDock (gnina-opt) -> DiffDock (raw)].k5.p_holm,719,100,0.0001176,0.0001209
table_21[AutoDock (gnina-opt) -> DiffDock (raw)].k10.base,719,113,65.0,70.0
table_21[AutoDock (gnina-opt) -> DiffDock (raw)].k10.comp,719,119,48.2,52.1
table_21[AutoDock (gnina-opt) -> DiffDock (raw)].k10.base_wins,719,125,99,100
table_21[AutoDock (gnina-opt) -> DiffDock (raw)].k10.comp_wins,719,129,48,46
table_21[AutoDock (gnina-opt) -> DiffDock (raw)].k10.p_holm,719,133,0.0002199,0.0000647
table_21[AutoDock (gnina-opt) -> DiffDock (raw)].k15.base,719,146,66.3,71.3
table_21[AutoDock (gnina-opt) -> DiffDock (raw)].k15.comp,719,152,49.8,52.8
table_21[AutoDock (gnina-opt) -> DiffDock (raw)].k15.base_wins,719,158,99,102
table_21[AutoDock (gnina-opt) -> DiffDock (raw)].k15.comp_wins,719,162,49,46
table_21[AutoDock (gnina-opt) -> DiffDock (raw)].k15.p_holm,719,166,0.0002897,0.0000384
table_21[AutoDock (gnina-opt) -> DiffDock (gnina-opt)].k1.base,720,55,37.3,49.8
table_21[AutoDock (gnina-opt) -> DiffDock (gnina-opt)].k1.comp,720,61,35.6,45.5
table_21[AutoDock (gnina-opt) -> DiffDock (gnina-opt)].k1.base_wins,720,67,60,72
table_21[AutoDock (gnina-opt) -> DiffDock (gnina-opt)].k1.comp_wins,720,71,55,59
table_21[AutoDock (gnina-opt) -> DiffDock (gnina-opt)].k1.p_holm,720,75,0.7093,0.2944
table_21[AutoDock (gnina-opt) -> DiffDock (gnina-opt)].k5.base,720,85,62.0,67.3
table_21[AutoDock (gnina-opt) -> DiffDock (gnina-opt)].k5.comp,720,91,49.2,54.1
table_21[AutoDock (gnina-opt) -> DiffDock (gnina-opt)].k5.comp_wins,720,101,50,49
table_21[AutoDock (gnina-opt) -> DiffDock (gnina-opt)].k5.p_holm,720,105,0.00594,0.00418
table_21[AutoDock (gnina-opt) -> DiffDock (gnina-opt)].k10.base,720,116,65.0,70.0
table_21[AutoDock (gnina-opt) -> DiffDock (gnina-opt)].k10.comp,720,122,52.8,57.1
table_21[AutoDock (gnina-opt) -> DiffDock (gnina-opt)].k10.comp_wins,720,132,50,48
table_21[AutoDock (gnina-opt) -> DiffDock (gnina-opt)].k10.p_holm,720,136,0.007955,0.004180
table_21[AutoDock (gnina-opt) -> DiffDock (gnina-opt)].k15.base,720,148,66.3,71.3
table_21[AutoDock (gnina-opt) -> DiffDock (gnina-opt)].k15.comp,720,154,56.1,59.4
table_21[AutoDock (gnina-opt) -> DiffDock (gnina-opt)].k15.base_wins,720,160,83,85
table_21[AutoDock (gnina-opt) -> DiffDock (gnina-opt)].k15.comp_wins,720,164,52,49
table_21[AutoDock (gnina-opt) -> DiffDock (gnina-opt)].k15.p_holm,720,168,0.02869,0.00711
table_21[DiffDock (gnina-opt) -> EquiBind (gnina-opt)].k1.base,721,55,35.6,45.5
table_21[DiffDock (gnina-opt) -> EquiBind (gnina-opt)].k1.comp,721,61,18.8,19.5
table_21[DiffDock (gnina-opt) -> EquiBind (gnina-opt)].k1.base_wins,721,67,68,97
table_21[DiffDock (gnina-opt) -> EquiBind (gnina-opt)].k1.comp_wins,721,71,17,18
table_21[DiffDock (gnina-opt) -> EquiBind (gnina-opt)].k1.p_holm,721,75,1.958e-07,2.513e-13
table_21[DiffDock (gnina-opt) -> EquiBind (gnina-opt)].k5.base,721,88,49.2,54.1
table_21[DiffDock (gnina-opt) -> EquiBind (gnina-opt)].k5.comp,721,94,25.1,26.1
table_21[DiffDock (gnina-opt) -> EquiBind (gnina-opt)].k5.base_wins,721,100,94,107
table_21[DiffDock (gnina-opt) -> EquiBind (gnina-opt)].k5.comp_wins,721,104,21,22
table_21[DiffDock (gnina-opt) -> EquiBind (gnina-opt)].k5.p_holm,721,108,3.564e-11,1.327e-13
table_21[DiffDock (gnina-opt) -> EquiBind (gnina-opt)].k10.base,721,121,52.8,57.1
table_21[DiffDock (gnina-opt) -> EquiBind (gnina-opt)].k10.comp,721,127,27.4,28.4
table_21[DiffDock (gnina-opt) -> EquiBind (gnina-opt)].k10.base_wins,721,133,98,109
table_21[DiffDock (gnina-opt) -> EquiBind (gnina-opt)].k10.comp_wins,721,137,21,22
table_21[DiffDock (gnina-opt) -> EquiBind (gnina-opt)].k10.p_holm,721,141,5.284e-12,5.256e-14
table_21[DiffDock (gnina-opt) -> EquiBind (gnina-opt)].k15.base,721,154,56.1,59.4
table_21[DiffDock (gnina-opt) -> EquiBind (gnina-opt)].k15.comp,721,160,27.4,28.4
table_21[DiffDock (gnina-opt) -> EquiBind (gnina-opt)].k15.base_wins,721,166,104,112
table_21[DiffDock (gnina-opt) -> EquiBind (gnina-opt)].k15.comp_wins,721,171,17,18
table_21[AutoDock (gnina-opt) -> EquiBind (gnina-opt)].k1.base,722,55,37.3,49.8
table_21[AutoDock (gnina-opt) -> EquiBind (gnina-opt)].k1.comp,722,61,18.8,19.5
table_21[AutoDock (gnina-opt) -> EquiBind (gnina-opt)].k1.base_wins,722,67,75,111
table_21[AutoDock (gnina-opt) -> EquiBind (gnina-opt)].k1.p_holm,722,75,4.818e-08,6.388e-16
table_21[AutoDock (gnina-opt) -> EquiBind (gnina-opt)].k5.base,722,88,62.0,67.3
table_21[AutoDock (gnina-opt) -> EquiBind (gnina-opt)].k5.comp,722,94,25.1,26.1
table_21[AutoDock (gnina-opt) -> EquiBind (gnina-opt)].k5.base_wins,722,100,128,141
table_21[AutoDock (gnina-opt) -> EquiBind (gnina-opt)].k10.base,722,122,65.0,70.0
table_21[AutoDock (gnina-opt) -> EquiBind (gnina-opt)].k10.comp,722,128,27.4,28.4
table_21[AutoDock (gnina-opt) -> EquiBind (gnina-opt)].k10.base_wins,722,134,129,141
table_21[AutoDock (gnina-opt) -> EquiBind (gnina-opt)].k15.base,722,156,66.3,71.3
table_21[AutoDock (gnina-opt) -> EquiBind (gnina-opt)].k15.comp,722,162,27.4,28.4
table_21[AutoDock (gnina-opt) -> EquiBind (gnina-opt)].k15.base_wins,722,168,132,144
table_18[AutoDock Vina].k1.near,806,24,31.4,43.2
table_18[AutoDock Vina].k1.valid,806,30,31.0,42.9
table_18[AutoDock Vina].k5.near,806,38,50.8,56.4
table_18[AutoDock Vina].k5.valid,806,44,50.5,56.1
table_18[AutoDock Vina].k10.near,806,52,58.7,62.7
table_18[AutoDock Vina].k10.valid,806,58,58.7,62.7
table_18[AutoDock Vina].k15.near,806,66,61.1,65.3
table_18[AutoDock Vina].k15.valid,806,72,61.1,65.3
table_18[AutoDock (gnina-opt)].k1.near,807,31,37.3,49.8
table_18[AutoDock (gnina-opt)].k1.valid,807,37,36.6,49.2
table_18[AutoDock (gnina-opt)].k5.near,807,45,62.0,67.3
table_18[AutoDock (gnina-opt)].k5.valid,807,51,60.7,66.0
table_18[AutoDock (gnina-opt)].k10.near,807,59,65.0,70.0
table_18[AutoDock (gnina-opt)].k10.valid,807,65,64.0,69.0
table_18[AutoDock (gnina-opt)].k15.near,807,73,66.3,71.3
table_18[AutoDock (gnina-opt)].k15.valid,807,79,65.3,70.3
table_18[DiffDock (raw)].k1.near,808,25,33.7,43.6
table_18[DiffDock (raw)].k1.valid,808,31,18.2,22.1
table_18[DiffDock (raw)].k5.near,808,39,44.6,50.2
table_18[DiffDock (raw)].k5.valid,808,45,25.4,30.4
table_18[DiffDock (raw)].k10.near,808,53,48.2,52.1
table_18[DiffDock (raw)].k10.valid,808,59,28.7,32.7
table_18[DiffDock (raw)].k15.near,808,67,49.8,52.8
table_18[DiffDock (raw)].k15.valid,808,73,31.0,34.0
table_18[DiffDock + smina].k1.near,809,27,35.3,45.2
table_18[DiffDock + smina].k1.valid,809,33,34.0,43.6
table_18[DiffDock + smina].k5.near,809,41,48.8,54.1
table_18[DiffDock + smina].k5.valid,809,47,47.5,52.8
table_18[DiffDock + smina].k10.near,809,55,53.5,57.8
table_18[DiffDock + smina].k10.valid,809,61,52.5,56.8
table_18[DiffDock + smina].k15.near,809,69,56.1,60.1
table_18[DiffDock + smina].k15.valid,809,75,55.1,59.1
table_18[DiffDock (gnina-opt)].k1.near,810,31,35.6,45.5
table_18[DiffDock (gnina-opt)].k1.valid,810,37,34.3,44.2
table_18[DiffDock (gnina-opt)].k5.near,810,45,49.2,54.1
table_18[DiffDock (gnina-opt)].k5.valid,810,51,48.2,53.1
table_18[DiffDock (gnina-opt)].k10.near,810,59,52.8,57.1
table_18[DiffDock (gnina-opt)].k10.valid,810,65,51.8,56.1
table_18[DiffDock (gnina-opt)].k15.near,810,73,56.1,59.4
table_18[DiffDock (gnina-opt)].k15.valid,810,79,55.1,58.4
table_18[EquiBind (gnina-opt)].k1.near,812,31,18.8,19.5
table_18[EquiBind (gnina-opt)].k1.valid,812,37,18.2,18.8
table_18[EquiBind (gnina-opt)].k5.near,812,45,25.1,26.1
table_18[EquiBind (gnina-opt)].k5.valid,812,51,24.1,25.1
table_18[EquiBind (gnina-opt)].k10.near,812,59,27.4,28.4
table_18[EquiBind (gnina-opt)].k10.valid,812,65,26.4,27.4
table_18[EquiBind (gnina-opt)].k15.near,812,73,27.4,28.4
table_18[EquiBind (gnina-opt)].k15.valid,812,79,26.4,27.4
table_19[AutoDock Vina -> AutoDock (gnina-opt)].k1.raw,830,48,31.4,43.2
table_19[AutoDock Vina -> AutoDock (gnina-opt)].k1.opt,830,54,37.3,49.8
table_19[AutoDock Vina -> AutoDock (gnina-opt)].k1.raw_wins,830,60,21,19
table_19[AutoDock Vina -> AutoDock (gnina-opt)].k5.raw,830,70,50.8,56.4
table_19[AutoDock Vina -> AutoDock (gnina-opt)].k5.opt,830,76,62.0,67.3
table_19[AutoDock Vina -> AutoDock (gnina-opt)].k5.opt_wins,830,85,37,36
table_19[AutoDock Vina -> AutoDock (gnina-opt)].k10.raw,830,91,58.7,62.7
table_19[AutoDock Vina -> AutoDock (gnina-opt)].k10.opt,830,97,65.0,70.0
table_19[AutoDock Vina -> AutoDock (gnina-opt)].k10.opt_wins,830,106,22,25
table_19[AutoDock Vina -> AutoDock (gnina-opt)].k15.raw,830,112,61.1,65.3
table_19[AutoDock Vina -> AutoDock (gnina-opt)].k15.opt,830,118,66.3,71.3
table_19[AutoDock Vina -> AutoDock (gnina-opt)].k15.opt_wins,830,127,17,19
table_19[DiffDock (raw) -> DiffDock + smina].k1.raw,831,45,33.7,43.6
table_19[DiffDock (raw) -> DiffDock + smina].k1.opt,831,51,35.3,45.2
table_19[DiffDock (raw) -> DiffDock + smina].k1.raw_wins,831,57,1,5
table_19[DiffDock (raw) -> DiffDock + smina].k1.opt_wins,831,60,6,10
table_19[DiffDock (raw) -> DiffDock + smina].k5.raw,831,65,44.6,50.2
table_19[DiffDock (raw) -> DiffDock + smina].k5.opt,831,71,48.8,54.1
table_19[DiffDock (raw) -> DiffDock + smina].k5.opt_wins,831,80,18,17
table_19[DiffDock (raw) -> DiffDock + smina].k10.raw,831,86,48.2,52.1
table_19[DiffDock (raw) -> DiffDock + smina].k10.opt,831,92,53.5,57.8
table_19[DiffDock (raw) -> DiffDock + smina].k10.opt_wins,831,101,21,22
table_19[DiffDock (raw) -> DiffDock + smina].k15.raw,831,107,49.8,52.8
table_19[DiffDock (raw) -> DiffDock + smina].k15.opt,831,113,56.1,60.1
table_19[DiffDock (raw) -> DiffDock + smina].k15.opt_wins,831,122,24,27
table_19[DiffDock (raw) -> DiffDock (gnina-opt)].k1.raw,832,49,33.7,43.6
table_19[DiffDock (raw) -> DiffDock (gnina-opt)].k1.opt,832,55,35.6,45.5
table_19[DiffDock (raw) -> DiffDock (gnina-opt)].k1.raw_wins,832,61,2,6
table_19[DiffDock (raw) -> DiffDock (gnina-opt)].k1.opt_wins,832,64,8,12
table_19[DiffDock (raw) -> DiffDock (gnina-opt)].k5.raw,832,69,44.6,50.2
table_19[DiffDock (raw) -> DiffDock (gnina-opt)].k5.opt,832,75,49.2,54.1
table_19[DiffDock (raw) -> DiffDock (gnina-opt)].k5.opt_wins,832,84,19,17
table_19[DiffDock (raw) -> DiffDock (gnina-opt)].k10.raw,832,90,48.2,52.1
table_19[DiffDock (raw) -> DiffDock (gnina-opt)].k10.opt,832,96,52.8,57.1
table_19[DiffDock (raw) -> DiffDock (gnina-opt)].k10.raw_wins,832,102,6,5
table_19[DiffDock (raw) -> DiffDock (gnina-opt)].k15.raw,832,111,49.8,52.8
table_19[DiffDock (raw) -> DiffDock (gnina-opt)].k15.opt,832,117,56.1,59.4
table_19[DiffDock (raw) -> DiffDock (gnina-opt)].k15.raw_wins,832,123,6,5
table_19[EquiBind (raw) -> EquiBind (gnina-opt)].k1.opt,833,54,18.8,19.5
table_19[EquiBind (raw) -> EquiBind (gnina-opt)].k1.opt_wins,833,63,55,57
table_19[EquiBind (raw) -> EquiBind (gnina-opt)].k5.opt,833,74,25.1,26.1
table_19[EquiBind (raw) -> EquiBind (gnina-opt)].k5.opt_wins,833,83,69,72
table_19[EquiBind (raw) -> EquiBind (gnina-opt)].k10.opt,833,94,27.4,28.4
table_19[EquiBind (raw) -> EquiBind (gnina-opt)].k10.opt_wins,833,103,72,75
table_19[EquiBind (raw) -> EquiBind (gnina-opt)].k15.opt,833,114,27.4,28.4
table_19[EquiBind (raw) -> EquiBind (gnina-opt)].k15.opt_wins,833,123,66,69
table_6[autodock].complexes,865,27,199,214
table_6[autodock].cpu_core_s_per_near2,865,54,1752.8,1233.3
table_6[autodock].gpu_s_per_near2,865,79,118.9,83.7
table_6[autodock].poses_near2,865,99,311,442
table_6[diffdock].complexes,866,27,169,183
table_6[diffdock].cpu_core_s_per_near2,866,54,2.93,2.30
table_6[diffdock].gpu_s_per_near2,866,79,49.9,39.1
table_6[diffdock].poses_near2,866,99,1622,2068
table_6[equibind].complexes,867,27,80,83
table_6[equibind].cpu_core_s_per_near2,867,54,165.3,159.4
table_6[equibind].poses_near2,867,99,466,483
table_8[autodock_mgltools_exh18].d1,888,73,72,92
table_8[autodock_mgltools_exh18].d5,888,77,108,127
table_8[autodock_mgltools_exh18].d15,888,82,121,138
table_8[autodock_mgltools_exh18].d30,888,87,125,143
table_8[autodock_mgltools].d1,889,73,85,109
table_8[autodock_mgltools].d5,889,77,130,147
table_8[autodock_mgltools].d15,889,82,148,161
table_8[autodock_mgltools].d30,889,87,154,170
table_8[autodock_mgltools_exh64].d1,890,73,94,123
table_8[autodock_mgltools_exh64].d5,890,77,145,162
table_8[autodock_mgltools_exh64].d15,890,82,175,190
table_8[autodock_mgltools_exh64].d30,890,87,182,201
table_8[autodock_mgltools_exh92].d1,891,73,91,123
table_8[autodock_mgltools_exh92].d5,891,77,150,164
table_8[autodock_mgltools_exh92].d15,891,82,182,194
table_8[autodock_mgltools_exh92].d30,891,87,194,209
table_8[autodock_mgltools_exh128].d1,892,73,94,130
table_8[autodock_mgltools_exh128].d5,892,77,153,170
table_8[autodock_mgltools_exh128].d15,892,82,185,198
table_8[autodock_mgltools_exh128].d30,892,87,202,217
table_8[autodock_mgltools_gnina].d1,893,73,100,129
table_8[autodock_mgltools_gnina].d5,893,78,144,160
table_8[autodock_mgltools_gnina].d15,893,83,154,170
table_8[autodock_mgltools_gnina].d30,893,88,154,170
table_8[autodock_mgltools_exh64_gnina].d1,894,73,110,141
table_8[autodock_mgltools_exh64_gnina].d5,894,78,169,187
table_8[autodock_mgltools_exh64_gnina].d15,894,83,182,200
table_8[autodock_mgltools_exh64_gnina].d30,894,88,182,200
table_8[autodock_mgltools_exh128_gnina].d1,895,73,111,149
table_8[autodock_mgltools_exh128_gnina].d5,895,78,184,200
table_8[autodock_mgltools_exh128_gnina].d15,895,83,198,213
table_8[autodock_mgltools_exh128_gnina].d30,895,88,199,214
prose.refiners.equibind_near_top15.gnina,1011,39,83,86
prose.refiners.equibind_near_top15.smina,1011,50,61,64
prose.refiners.equibind_selection_top15.gnina,1012,39,55,57
prose.refiners.equibind_selection_top15.smina,1012,50,46,48
prose.refiners.equibind_selection_top15.mcnemar_p,1012,65,0.1078,0.1221
prose.refiners.diffdock_triple_top15.smina,1013,39,133,144
prose.refiners.diffdock_triple_top15.gnina,1013,51,132,143
prose.refiners.diffdock_double_top15.smina,1014,39,167,179
prose.refiners.diffdock_double_top15.gnina,1014,51,167,177
prose.refiners.diffdock_double_top15.mcnemar_p,1014,67,1.0,0.7
prose.refiners.diffdock_near_top15.smina,1015,39,170,182
prose.refiners.diffdock_near_top15.gnina,1015,51,170,180
prose.refiners.diffdock_near_top15.mcnemar_p,1015,67,1.0,0.7
prose[h9].diff_pp.k1,1029,17,2.6,5.6
prose[h9].diff_pp.k15,1029,28,10.2,11.2
prose[h9].diff_pp.k30,1029,34,9.9,10.2
prose[h9].ci95_lo.k1,1030,17,-4.2,-1.7
prose[h9].ci95_lo.k15,1030,28,2.8,3.9
prose[h9].ci95_lo.k30,1030,33,2.5,3.0
prose[h9].ci95_hi.k1,1031,17,9.4,12.8
prose[h9].ci95_hi.k15,1031,28,17.5,18.4
prose[h9].ci95_hi.k30,1031,34,17.1,17.3
prose[h9].mcnemar_p.k1,1032,17,0.5085,0.1587
prose[h9].mcnemar_p.k15,1032,34,0.0090,0.0036
prose[h9].mcnemar_p.k30,1032,42,0.0113,0.0075
prose[h9].both_recover,1034,21,51,76
prose[h9].neither_recovers,1035,25,140,98
prose[h9].discordant,1036,19,112,129
prose[h9].discordant_pct,1037,23,37.0,42.6
prose[h9].mde_pp,1038,15,9.8,10.5
prose[h9].observed_power,1039,23,0.12,0.32
prose[h9].n_needed,1040,17,4200,1100
prose[h9].mde_at_428,1041,19,8.2,8.8
prose[h9].ci90_lo.k1,1048,17,-3.1,-0.5
prose[h9].ci90_lo.k15,1048,28,4.0,5.1
prose[h9].ci90_lo.k30,1048,33,3.7,4.2
prose[h9].ci90_hi.k1,1049,17,8.3,11.7
prose[h9].ci90_hi.k15,1049,28,16.3,17.2
prose[h9].ci90_hi.k30,1049,34,16.0,16.2
prose[h9].smallest_margin.k1,1050,33,8.4,11.7
prose[h9].smallest_margin.k15,1050,44,16.4,17.3
prose[h9].smallest_margin.k30,1050,50,16.0,16.2
prose.fig39.autodock_spurious_rank1,1081,30,15.3,9.1
prose.fig39.diffdock_spurious_rank1,1082,30,14.1,7.8
prose.fig39.autodock_spurious_rank5,1083,30,17.6,13.5
prose.fig39.equibind_matched_rank1,1084,29,16.7,17.7
prose.fig39.equibind_missed_rank1,1085,28,18.9,17.8
prose.fig39.equibind_spurious_min,1086,28,12.0,11.2
prose.fig39.equibind_spurious_max,1087,28,12.6,11.6
prose.audit.median_rmsd,1106,18,7.57,5.01
prose.audit.within_2a_pct,1107,20,21.3,26.9
prose.audit.site_filtered_overlap[autodock],1110,39,0.683,0.676
prose.audit.site_filtered_overlap[diffdock],1110,56,0.714,0.706
prose.audit.site_filtered_overlap[equibind],1110,73,0.629,0.623
prose.audit.dropped_by_site_filter[autodock],1112,40,44,27
prose.audit.dropped_by_site_filter[diffdock],1112,54,60,38
prose.audit.dropped_by_site_filter[equibind],1112,68,111,100
