protein,ligand,pose_sdf,pose_centroid_x,pose_centroid_y,pose_centroid_z,in_fpocket,nearest_fpocket_id,nearest_fpocket_dist_A,in_p2rank,nearest_p2rank_id,nearest_p2rank_dist_A,in_any_pocket
Orai1WT-MDSnap-Fr300,gsk7975a-deprot-OPT,unguided_010.sdf,-11.14,26.61,-12.79,False,fpocket_raw_p003,26.01,False,p2rank_raw_p004,10.88,False
Orai1WT-MDSnap-Fr300,gsk7975a-deprot-OPT,unguided_011.sdf,-10.63,25.95,-12.06,False,fpocket_raw_p003,25.68,False,p2rank_raw_p004,10.8,False
Orai1WT-MDSnap-Fr300,gsk7975a-deprot-OPT,unguided_012.sdf,-11.31,26.56,-12.54,False,fpocket_raw_p003,26.16,False,p2rank_raw_p004,11.13,False
Orai1WT-MDSnap-Fr300,gsk7975a-deprot-OPT,unguided_013.sdf,-9.19,24.01,-12.07,False,fpocket_raw_p003,23.69,False,p2rank_raw_p004,9.47,False
Orai1WT-MDSnap-Fr300,gsk7975a-deprot-OPT,unguided_014.sdf,-10.84,26.05,-12.91,False,fpocket_raw_p003,25.4,False,p2rank_raw_p004,10.4,False
Orai1WT-MDSnap-Fr300,gsk7975a-deprot-OPT,unguided_015.sdf,-9.4,24.43,-12.6,False,fpocket_raw_p003,23.79,False,p2rank_raw_p004,9.26,False
Orai1WT-MDSnap-Fr300,gsk7975a-deprot-OPT,unguided_016.sdf,-10.82,26.1,-11.81,False,fpocket_raw_p003,26.0,False,p2rank_raw_p004,11.14,False
Orai1WT-MDSnap-Fr300,gsk7975a-deprot-OPT,unguided_017.sdf,-10.14,24.94,-12.0,False,fpocket_raw_p003,24.77,False,p2rank_raw_p004,10.27,False
Orai1WT-MDSnap-Fr300,gsk7975a-deprot-OPT,unguided_018.sdf,-10.19,25.06,-12.24,False,fpocket_raw_p003,24.75,False,p2rank_raw_p004,10.15,False
Orai1WT-MDSnap-Fr300,gsk7975a-deprot-OPT,unguided_019.sdf,-10.84,25.74,-13.0,False,fpocket_raw_p003,25.11,False,p2rank_raw_p004,10.24,False
Orai1WT-MDSnap-Fr300,gsk7975a-deprot-OPT,unguided_020.sdf,-10.97,25.47,-15.64,False,fpocket_cleaned_p003,23.72,False,p2rank_raw_p004,8.81,False
Orai1WT-MDSnap-Fr300,gsk7975a-deprot-OPT,unguided_021.sdf,-11.57,26.7,-13.35,False,fpocket_cleaned_p003,25.98,False,p2rank_raw_p004,10.87,False
Orai1WT-MDSnap-Fr300,gsk7975a-deprot-OPT,unguided_022.sdf,-10.45,24.71,-14.36,False,fpocket_cleaned_p003,23.49,False,p2rank_raw_p004,8.85,False
