protein,n_copies,autodock_rank,optimized_rank,cnn_affinity,status,rmsd_ref,rmsd_refcopy,rmsd_nearest_copy,nearest_idx,ref_idx,cd_ref,cd_nearest,pose_file
7D6O_MTE,2,6,16,5.2613310814,success,36.34868091894808,36.34868091894808,36.34868091894808,0,0,36.20261046484262,36.20261046484262,/home/manndo/master_dev/Dockings/vina_results_full_protein_vina_scoring_mgltools_exh128/7D6O_MTE/mgl_tools/docking/optimized_gnina/7D6O_MTE_protein_mgl_tools__7D6O_MTE_ligand_start_conf_vina_vina_out_rank6_gnina.sdf
7D6O_MTE,2,7,28,4.838599205,success,82.90865777827429,82.90865777827429,34.70690171402032,1,0,82.81437337005427,34.2416477287624,/home/manndo/master_dev/Dockings/vina_results_full_protein_vina_scoring_mgltools_exh128/7D6O_MTE/mgl_tools/docking/optimized_gnina/7D6O_MTE_protein_mgl_tools__7D6O_MTE_ligand_start_conf_vina_vina_out_rank7_gnina.sdf
7D6O_MTE,2,8,3,5.8658285141,success,34.901009132730195,34.901009132730195,34.901009132730195,0,0,34.38191909465002,34.38191909465002,/home/manndo/master_dev/Dockings/vina_results_full_protein_vina_scoring_mgltools_exh128/7D6O_MTE/mgl_tools/docking/optimized_gnina/7D6O_MTE_protein_mgl_tools__7D6O_MTE_ligand_start_conf_vina_vina_out_rank8_gnina.sdf
7D6O_MTE,2,9,6,5.48239851,success,40.02042105258056,40.02042105258056,40.02042105258056,0,0,39.79754291950655,39.79754291950655,/home/manndo/master_dev/Dockings/vina_results_full_protein_vina_scoring_mgltools_exh128/7D6O_MTE/mgl_tools/docking/optimized_gnina/7D6O_MTE_protein_mgl_tools__7D6O_MTE_ligand_start_conf_vina_vina_out_rank9_gnina.sdf
7D6O_MTE,2,10,7,5.4564862251,success,46.628175472164,46.628175472164,46.628175472164,0,0,46.32031543450752,46.32031543450752,/home/manndo/master_dev/Dockings/vina_results_full_protein_vina_scoring_mgltools_exh128/7D6O_MTE/mgl_tools/docking/optimized_gnina/7D6O_MTE_protein_mgl_tools__7D6O_MTE_ligand_start_conf_vina_vina_out_rank10_gnina.sdf
7D6O_MTE,2,11,8,5.4324741364,success,67.3001952978407,67.3001952978407,40.03207490160234,1,0,67.05817828533425,39.81161492883414,/home/manndo/master_dev/Dockings/vina_results_full_protein_vina_scoring_mgltools_exh128/7D6O_MTE/mgl_tools/docking/optimized_gnina/7D6O_MTE_protein_mgl_tools__7D6O_MTE_ligand_start_conf_vina_vina_out_rank11_gnina.sdf
7D6O_MTE,2,12,9,5.4142279625,success,93.33659307158152,93.33659307158152,56.75945338731397,1,0,93.20035557091077,56.570125001679614,/home/manndo/master_dev/Dockings/vina_results_full_protein_vina_scoring_mgltools_exh128/7D6O_MTE/mgl_tools/docking/optimized_gnina/7D6O_MTE_protein_mgl_tools__7D6O_MTE_ligand_start_conf_vina_vina_out_rank12_gnina.sdf
7D6O_MTE,2,13,20,5.2047667503,success,26.983053726343687,26.983053726343687,26.983053726343687,0,0,26.325574627429457,26.325574627429457,/home/manndo/master_dev/Dockings/vina_results_full_protein_vina_scoring_mgltools_exh128/7D6O_MTE/mgl_tools/docking/optimized_gnina/7D6O_MTE_protein_mgl_tools__7D6O_MTE_ligand_start_conf_vina_vina_out_rank13_gnina.sdf
7D6O_MTE,2,14,4,5.842148304,success,68.10927549676146,68.10927549676146,34.98673304307054,1,0,67.9023223277093,34.46529790278008,/home/manndo/master_dev/Dockings/vina_results_full_protein_vina_scoring_mgltools_exh128/7D6O_MTE/mgl_tools/docking/optimized_gnina/7D6O_MTE_protein_mgl_tools__7D6O_MTE_ligand_start_conf_vina_vina_out_rank14_gnina.sdf
7D6O_MTE,2,15,24,5.036570549,success,47.11458892181115,47.11458892181115,47.11458892181115,0,0,46.77708399337226,46.77708399337226,/home/manndo/master_dev/Dockings/vina_results_full_protein_vina_scoring_mgltools_exh128/7D6O_MTE/mgl_tools/docking/optimized_gnina/7D6O_MTE_protein_mgl_tools__7D6O_MTE_ligand_start_conf_vina_vina_out_rank15_gnina.sdf
7D6O_MTE,2,16,13,5.3667397499,success,72.36769669529413,72.36769669529413,44.26428081947584,1,0,72.27482988357957,44.03884544523925,/home/manndo/master_dev/Dockings/vina_results_full_protein_vina_scoring_mgltools_exh128/7D6O_MTE/mgl_tools/docking/optimized_gnina/7D6O_MTE_protein_mgl_tools__7D6O_MTE_ligand_start_conf_vina_vina_out_rank16_gnina.sdf
7D6O_MTE,2,17,22,5.1087398529,success,74.35835416708682,74.35835416708682,46.806513748493565,1,0,74.05993537830818,46.44709014915688,/home/manndo/master_dev/Dockings/vina_results_full_protein_vina_scoring_mgltools_exh128/7D6O_MTE/mgl_tools/docking/optimized_gnina/7D6O_MTE_protein_mgl_tools__7D6O_MTE_ligand_start_conf_vina_vina_out_rank17_gnina.sdf
7D6O_MTE,2,18,23,5.0484004021,success,71.49976468359004,71.49976468359004,41.802062497566034,1,0,71.15548952591881,41.243686127430486,/home/manndo/master_dev/Dockings/vina_results_full_protein_vina_scoring_mgltools_exh128/7D6O_MTE/mgl_tools/docking/optimized_gnina/7D6O_MTE_protein_mgl_tools__7D6O_MTE_ligand_start_conf_vina_vina_out_rank18_gnina.sdf
7D6O_MTE,2,19,14,5.3077025414,success,68.04507797750388,68.04507797750388,32.30585944656557,1,0,67.83210087760308,31.807736057954774,/home/manndo/master_dev/Dockings/vina_results_full_protein_vina_scoring_mgltools_exh128/7D6O_MTE/mgl_tools/docking/optimized_gnina/7D6O_MTE_protein_mgl_tools__7D6O_MTE_ligand_start_conf_vina_vina_out_rank19_gnina.sdf
7D6O_MTE,2,20,17,5.2248587608,success,68.07831182900689,68.07831182900689,36.290820290226286,1,0,67.72925168978387,35.57795626136386,/home/manndo/master_dev/Dockings/vina_results_full_protein_vina_scoring_mgltools_exh128/7D6O_MTE/mgl_tools/docking/optimized_gnina/7D6O_MTE_protein_mgl_tools__7D6O_MTE_ligand_start_conf_vina_vina_out_rank20_gnina.sdf
7D6O_MTE,2,21,21,5.1728124619,success,30.956782671788314,30.956782671788314,30.956782671788314,0,0,30.559831252669433,30.559831252669433,/home/manndo/master_dev/Dockings/vina_results_full_protein_vina_scoring_mgltools_exh128/7D6O_MTE/mgl_tools/docking/optimized_gnina/7D6O_MTE_protein_mgl_tools__7D6O_MTE_ligand_start_conf_vina_vina_out_rank21_gnina.sdf
7D6O_MTE,2,22,12,5.3748965263,success,40.03497987921521,40.03497987921521,27.21644811804987,1,0,39.6647570615525,26.56450150428342,/home/manndo/master_dev/Dockings/vina_results_full_protein_vina_scoring_mgltools_exh128/7D6O_MTE/mgl_tools/docking/optimized_gnina/7D6O_MTE_protein_mgl_tools__7D6O_MTE_ligand_start_conf_vina_vina_out_rank22_gnina.sdf
7D6O_MTE,2,23,11,5.3765134811,success,36.07787238971763,36.07787238971763,36.07787238971763,0,0,35.3662934574758,35.3662934574758,/home/manndo/master_dev/Dockings/vina_results_full_protein_vina_scoring_mgltools_exh128/7D6O_MTE/mgl_tools/docking/optimized_gnina/7D6O_MTE_protein_mgl_tools__7D6O_MTE_ligand_start_conf_vina_vina_out_rank23_gnina.sdf
7D6O_MTE,2,24,30,4.5452246666,success,56.34902379650201,56.34902379650201,31.09355740519918,1,0,56.11634065763309,30.871323714421568,/home/manndo/master_dev/Dockings/vina_results_full_protein_vina_scoring_mgltools_exh128/7D6O_MTE/mgl_tools/docking/optimized_gnina/7D6O_MTE_protein_mgl_tools__7D6O_MTE_ligand_start_conf_vina_vina_out_rank24_gnina.sdf
7D6O_MTE,2,25,25,5.0221142769,success,73.9010734577285,73.9010734577285,46.0953857625278,1,0,73.8539442074728,45.891831508622325,/home/manndo/master_dev/Dockings/vina_results_full_protein_vina_scoring_mgltools_exh128/7D6O_MTE/mgl_tools/docking/optimized_gnina/7D6O_MTE_protein_mgl_tools__7D6O_MTE_ligand_start_conf_vina_vina_out_rank25_gnina.sdf
7D6O_MTE,2,26,19,5.2068829536,success,38.8713553570085,38.8713553570085,27.886481743534805,1,0,38.40128344241759,27.28419026357813,/home/manndo/master_dev/Dockings/vina_results_full_protein_vina_scoring_mgltools_exh128/7D6O_MTE/mgl_tools/docking/optimized_gnina/7D6O_MTE_protein_mgl_tools__7D6O_MTE_ligand_start_conf_vina_vina_out_rank26_gnina.sdf
7D6O_MTE,2,27,26,5.0128965378,success,56.879727740385825,56.879727740385825,33.0847736319708,1,0,56.76705468911307,32.7640340743318,/home/manndo/master_dev/Dockings/vina_results_full_protein_vina_scoring_mgltools_exh128/7D6O_MTE/mgl_tools/docking/optimized_gnina/7D6O_MTE_protein_mgl_tools__7D6O_MTE_ligand_start_conf_vina_vina_out_rank27_gnina.sdf
7D6O_MTE,2,28,10,5.3793768883,success,36.560925427200736,36.560925427200736,36.560925427200736,0,0,36.43247249176521,36.43247249176521,/home/manndo/master_dev/Dockings/vina_results_full_protein_vina_scoring_mgltools_exh128/7D6O_MTE/mgl_tools/docking/optimized_gnina/7D6O_MTE_protein_mgl_tools__7D6O_MTE_ligand_start_conf_vina_vina_out_rank28_gnina.sdf
7D6O_MTE,2,29,5,5.6147165298,success,68.79643533988819,68.79643533988819,38.34005483282138,1,0,68.75266850874532,38.17594258812962,/home/manndo/master_dev/Dockings/vina_results_full_protein_vina_scoring_mgltools_exh128/7D6O_MTE/mgl_tools/docking/optimized_gnina/7D6O_MTE_protein_mgl_tools__7D6O_MTE_ligand_start_conf_vina_vina_out_rank29_gnina.sdf
7D6O_MTE,2,30,18,5.2125563622,success,27.68016511576927,27.68016511576927,27.68016511576927,0,0,27.128106732614587,27.128106732614587,/home/manndo/master_dev/Dockings/vina_results_full_protein_vina_scoring_mgltools_exh128/7D6O_MTE/mgl_tools/docking/optimized_gnina/7D6O_MTE_protein_mgl_tools__7D6O_MTE_ligand_start_conf_vina_vina_out_rank30_gnina.sdf
7FRX_O88,4,1,5,6.3410544395,success,79.33266493027111,79.33266493027111,2.1376998133507894,3,0,79.07341519127934,0.922770364717031,/home/manndo/master_dev/Dockings/vina_results_full_protein_vina_scoring_mgltools_exh128/7FRX_O88/mgl_tools/docking/optimized_gnina/7FRX_O88_protein_mgl_tools__7FRX_O88_ligand_start_conf_vina_vina_out_rank1_gnina.sdf
7FRX_O88,4,2,9,6.2798695564,success,80.10436599521901,80.10436599521901,10.570231691058936,3,0,79.66073019975164,0.8547992948705024,/home/manndo/master_dev/Dockings/vina_results_full_protein_vina_scoring_mgltools_exh128/7FRX_O88/mgl_tools/docking/optimized_gnina/7FRX_O88_protein_mgl_tools__7FRX_O88_ligand_start_conf_vina_vina_out_rank2_gnina.sdf
7FRX_O88,4,3,14,6.1830859184,success,79.99409586384068,79.99409586384068,10.561079467554443,3,0,79.52944850127587,1.3954696855579174,/home/manndo/master_dev/Dockings/vina_results_full_protein_vina_scoring_mgltools_exh128/7FRX_O88/mgl_tools/docking/optimized_gnina/7FRX_O88_protein_mgl_tools__7FRX_O88_ligand_start_conf_vina_vina_out_rank3_gnina.sdf
7FRX_O88,4,4,11,6.2601766586,success,79.87239109854961,79.87239109854961,4.4029750714337075,3,0,79.6912281084829,2.28201430145242,/home/manndo/master_dev/Dockings/vina_results_full_protein_vina_scoring_mgltools_exh128/7FRX_O88/mgl_tools/docking/optimized_gnina/7FRX_O88_protein_mgl_tools__7FRX_O88_ligand_start_conf_vina_vina_out_rank4_gnina.sdf
7FRX_O88,4,5,7,6.3105397224,success,79.45667203762689,79.45667203762689,10.404565763884623,3,0,79.01141232875744,0.6919190646552076,/home/manndo/master_dev/Dockings/vina_results_full_protein_vina_scoring_mgltools_exh128/7FRX_O88/mgl_tools/docking/optimized_gnina/7FRX_O88_protein_mgl_tools__7FRX_O88_ligand_start_conf_vina_vina_out_rank5_gnina.sdf
7FRX_O88,4,6,12,6.2406368256,success,81.16287166713403,81.16287166713403,9.688606387694088,3,0,80.68639570415553,3.7310239445031175,/home/manndo/master_dev/Dockings/vina_results_full_protein_vina_scoring_mgltools_exh128/7FRX_O88/mgl_tools/docking/optimized_gnina/7FRX_O88_protein_mgl_tools__7FRX_O88_ligand_start_conf_vina_vina_out_rank6_gnina.sdf
7FRX_O88,4,7,4,6.3888607025,success,80.40911258279333,80.40911258279333,5.665275260067539,3,0,80.2849175022253,3.8148738440201297,/home/manndo/master_dev/Dockings/vina_results_full_protein_vina_scoring_mgltools_exh128/7FRX_O88/mgl_tools/docking/optimized_gnina/7FRX_O88_protein_mgl_tools__7FRX_O88_ligand_start_conf_vina_vina_out_rank7_gnina.sdf
7FRX_O88,4,8,8,6.3068671227,success,80.83360726192623,80.83360726192623,5.8641878098050935,3,0,80.72267088776513,4.191098717997466,/home/manndo/master_dev/Dockings/vina_results_full_protein_vina_scoring_mgltools_exh128/7FRX_O88/mgl_tools/docking/optimized_gnina/7FRX_O88_protein_mgl_tools__7FRX_O88_ligand_start_conf_vina_vina_out_rank8_gnina.sdf
7FRX_O88,4,9,1,6.4621734619,success,80.7461154213006,80.7461154213006,6.255881479855576,3,0,80.65176193870562,3.5637519616394377,/home/manndo/master_dev/Dockings/vina_results_full_protein_vina_scoring_mgltools_exh128/7FRX_O88/mgl_tools/docking/optimized_gnina/7FRX_O88_protein_mgl_tools__7FRX_O88_ligand_start_conf_vina_vina_out_rank9_gnina.sdf
7FRX_O88,4,10,23,5.8512415886,success,63.39537748243164,63.39537748243164,18.115765827403855,3,0,63.26130003683629,16.9373121573433,/home/manndo/master_dev/Dockings/vina_results_full_protein_vina_scoring_mgltools_exh128/7FRX_O88/mgl_tools/docking/optimized_gnina/7FRX_O88_protein_mgl_tools__7FRX_O88_ligand_start_conf_vina_vina_out_rank10_gnina.sdf
