base_protein,ligand_name,meeko,mgl_tools
Orai1WT-MDSnap-Fr499_cleaned,26C_ideal,-9.057,-9.086
Orai1WT-MDSnap-Fr499_cleaned,270_ideal,-6.424,-6.56
Orai1WT-MDSnap-Fr499_cleaned,283_ideal,-7.734,-7.349
Orai1WT-MDSnap-Fr499_cleaned,299_ideal,-6.392,-6.332
Orai1WT-MDSnap-Fr499_cleaned,2C7_ideal,-8.209,-7.208
Orai1WT-MDSnap-Fr499_cleaned,2H3_ideal,-5.88,-5.812
Orai1WT-MDSnap-Fr499_cleaned,2HA_ideal,-4.131,-4.402
Orai1WT-MDSnap-Fr499_cleaned,2HP_ideal,-3.956,-3.952
Orai1WT-MDSnap-Fr499_cleaned,2OH_ideal,-8.903,-8.922
Orai1WT-MDSnap-Fr499_cleaned,328_ideal,-8.07,-7.856
Orai1WT-MDSnap-Fr499_cleaned,36M_ideal,-6.571,-6.305
Orai1WT-MDSnap-Fr499_cleaned,3FG_ideal,-6.22,-6.007
Orai1WT-MDSnap-Fr499_cleaned,3G3_ideal,-8.455,-7.853
Orai1WT-MDSnap-Fr499_cleaned,3HG_ideal,-5.603,-5.116
Orai1WT-MDSnap-Fr499_cleaned,3IM_ideal,-7.503,-7.484
Orai1WT-MDSnap-Fr499_cleaned,3MI_ideal,-9.253,-8.618
Orai1WT-MDSnap-Fr499_cleaned,3PO_ideal,-6.19,-6.234
Orai1WT-MDSnap-Fr499_cleaned,3RL_ideal,-8.497,-8.511
Orai1WT-MDSnap-Fr499_cleaned,3SY_ideal,-4.436,-4.453
Orai1WT-MDSnap-Fr499_cleaned,416_ideal,-8.371,-8.316
Orai1WT-MDSnap-Fr499_cleaned,41A_ideal,-7.396,-6.993
Orai1WT-MDSnap-Fr499_cleaned,44B_ideal,-8.584,-8.6
Orai1WT-MDSnap-Fr499_cleaned,4AZ_ideal,-6.531,-6.533
Orai1WT-MDSnap-Fr499_cleaned,4BB_ideal,-8.985,-9.383
Orai1WT-MDSnap-Fr499_cleaned,4BR_ideal,-6.457,-6.421
Orai1WT-MDSnap-Fr499_cleaned,4CB_ideal,-6.596,-6.592
Orai1WT-MDSnap-Fr499_cleaned,4CH_ideal,-5.186,-5.249
Orai1WT-MDSnap-Fr499_cleaned,4FA_ideal,-6.49,-5.936
Orai1WT-MDSnap-Fr499_cleaned,4FC_ideal,-8.704,-8.671
Orai1WT-MDSnap-Fr499_cleaned,4FP_ideal,-7.742,-7.725
Orai1WT-MDSnap-Fr499_cleaned,4J8_ideal,-6.463,-6.646
Orai1WT-MDSnap-Fr499_cleaned,4KS_ideal,-6.607,-6.576
Orai1WT-MDSnap-Fr499_cleaned,4MB_ideal,-6.92,-6.825
Orai1WT-MDSnap-Fr499_cleaned,4ND_ideal,-7.783,-8.548
Orai1WT-MDSnap-Fr499_cleaned,4NL_ideal,-6.465,-6.469
Orai1WT-MDSnap-Fr499_cleaned,4NP_ideal,-6.832,-6.662
Orai1WT-MDSnap-Fr499_cleaned,4PG_ideal,-9.205,-8.749
Orai1WT-MDSnap-Fr499_cleaned,4PI_ideal,-8.967,-8.851
Orai1WT-MDSnap-Fr499_cleaned,4PN_ideal,-6.44,-6.441
