base_protein,ligand_name,rmsd,meeko_affinity,mgl_affinity,n_atoms_meeko,n_atoms_mgl
Orai1WT-MDSnap-Fr400_cleaned,2C7_ideal,1.5426628451629196,-8.286,-7.859,26,26
Orai1WT-MDSnap-Fr400_cleaned,2H3_ideal,16.501024109632308,-5.791,-5.892,12,12
Orai1WT-MDSnap-Fr400_cleaned,2HA_ideal,26.320843774468933,-4.205,-4.599,6,6
Orai1WT-MDSnap-Fr400_cleaned,2HP_ideal,0.01432480366357555,-3.893,-3.892,5,5
Orai1WT-MDSnap-Fr400_cleaned,2OH_ideal,23.31289023265884,-8.084,-7.794,17,17
Orai1WT-MDSnap-Fr400_cleaned,328_ideal,35.25812958964216,-8.443,-8.101,25,25
Orai1WT-MDSnap-Fr400_cleaned,36M_ideal,14.773802567642912,-6.022,-6.826,13,13
Orai1WT-MDSnap-Fr400_cleaned,3FG_ideal,34.005955373230634,-6.346,-6.636,13,13
Orai1WT-MDSnap-Fr400_cleaned,3G3_ideal,14.973528568035585,-8.956,-8.433,18,18
Orai1WT-MDSnap-Fr400_cleaned,3HG_ideal,0.17722161267746128,-5.432,-5.396,10,10
Orai1WT-MDSnap-Fr400_cleaned,3IM_ideal,51.62918885366591,-7.171,-7.357,16,16
Orai1WT-MDSnap-Fr400_cleaned,3MI_ideal,19.51166246504895,-8.372,-9.502,20,20
Orai1WT-MDSnap-Fr400_cleaned,3PO_ideal,5.967204016055658,-6.127,-6.461,13,13
Orai1WT-MDSnap-Fr400_cleaned,3RL_ideal,3.0384850362951394,-7.74,-7.784,19,19
Orai1WT-MDSnap-Fr400_cleaned,3SY_ideal,15.005466677921824,-4.787,-4.477,9,9
Orai1WT-MDSnap-Fr400_cleaned,416_ideal,33.02398497304648,-9.307,-8.69,22,22
Orai1WT-MDSnap-Fr400_cleaned,41A_ideal,49.281700214176865,-6.751,-6.929,18,18
Orai1WT-MDSnap-Fr400_cleaned,44B_ideal,6.467666338304439,-8.165,-7.985,22,22
Orai1WT-MDSnap-Fr400_cleaned,4AZ_ideal,0.06810219593309064,-6.354,-6.367,11,11
Orai1WT-MDSnap-Fr400_cleaned,4BB_ideal,25.6581270719435,-8.645,-8.648,25,25
Orai1WT-MDSnap-Fr400_cleaned,4BR_ideal,1.3446773991156047,-6.801,-6.823,13,13
Orai1WT-MDSnap-Fr400_cleaned,4CB_ideal,13.868140069958914,-6.26,-6.685,12,12
Orai1WT-MDSnap-Fr400_cleaned,4CH_ideal,3.7301043048418903,-6.173,-5.595,8,8
Orai1WT-MDSnap-Fr400_cleaned,4FA_ideal,3.388642840430369,-6.217,-6.18,10,10
Orai1WT-MDSnap-Fr400_cleaned,4FC_ideal,43.489383338781664,-8.112,-9.275,16,16
Orai1WT-MDSnap-Fr400_cleaned,4FP_ideal,1.2933470697601408,-7.413,-7.375,14,14
Orai1WT-MDSnap-Fr400_cleaned,4J8_ideal,40.55298817932813,-6.32,-6.874,11,11
Orai1WT-MDSnap-Fr400_cleaned,4KS_ideal,17.218129250557066,-6.219,-5.309,9,9
Orai1WT-MDSnap-Fr400_cleaned,4MB_ideal,15.10093494267349,-6.804,-6.623,14,14
Orai1WT-MDSnap-Fr400_cleaned,4ND_ideal,24.211562579684937,-9.11,-9.227,20,20
Orai1WT-MDSnap-Fr400_cleaned,4NL_ideal,3.258831328099078,-5.772,-6.014,8,8
Orai1WT-MDSnap-Fr400_cleaned,4NP_ideal,1.135560339970662,-6.729,-6.698,14,14
Orai1WT-MDSnap-Fr400_cleaned,4PG_ideal,14.30468908214513,-9.326,-8.543,19,19
Orai1WT-MDSnap-Fr400_cleaned,4PI_ideal,31.278272232711902,-9.167,-8.966,22,22
Orai1WT-MDSnap-Fr400_cleaned,4PN_ideal,18.01303206708965,-6.537,-6.033,12,12
Orai1WT-MDSnap-Fr400_cleaned,4SO_ideal,1.2652511456380748,-6.72,-6.655,13,13
Orai1WT-MDSnap-Fr400_cleaned,505_ideal,37.58151084489041,-6.062,-7.059,13,13
Orai1WT-MDSnap-Fr400_cleaned,521_ideal,2.237435708573545,-8.333,-8.322,20,20
Orai1WT-MDSnap-Fr400_cleaned,566_ideal,49.763271493762396,-8.293,-8.14,21,21
Orai1WT-MDSnap-Fr400_cleaned,572_ideal,49.567718469786364,-6.848,-6.747,20,20
Orai1WT-MDSnap-Fr400_cleaned,5AN_ideal,8.798050535330098,-6.067,-5.665,9,9
Orai1WT-MDSnap-Fr400_cleaned,5B3_ideal,43.29259042886746,-8.98,-9.461,24,24
Orai1WT-MDSnap-Fr400_cleaned,641_ideal,25.081292135253182,-8.446,-8.175,23,23
Orai1WT-MDSnap-Fr400_cleaned,6BD_ideal,37.19461488415967,-8.776,-8.359,21,21
Orai1WT-MDSnap-Fr400_cleaned,6LH_ideal,0.6098494349700861,-6.262,-6.178,12,12
Orai1WT-MDSnap-Fr400_cleaned,6LR_ideal,14.925890582027815,-4.336,-4.051,6,6
Orai1WT-MDSnap-Fr400_cleaned,6WT_ideal,1.170058140705657,-8.098,-8.095,19,19
Orai1WT-MDSnap-Fr400_cleaned,787_ideal,42.32439888606413,-7.114,-6.541,15,15
Orai1WT-MDSnap-Fr400_cleaned,791_ideal,40.68069205693001,-6.367,-6.685,13,13
Orai1WT-MDSnap-Fr400_cleaned,7BD_ideal,31.066947502128368,-7.932,-8.161,20,20
Orai1WT-MDSnap-Fr400_cleaned,7N8_ideal,28.144297108532186,-6.8,-7.37,15,15
Orai1WT-MDSnap-Fr400_cleaned,7TI_ideal,46.821191535991474,-7.579,-7.182,20,20
Orai1WT-MDSnap-Fr400_cleaned,80G_ideal,1.4181812296036076,-6.64,-6.624,13,13
Orai1WT-MDSnap-Fr400_cleaned,911_ideal,22.264854204042585,-5.86,-5.896,11,11
Orai1WT-MDSnap-Fr400_cleaned,92G_ideal,12.049525158215221,-6.58,-6.403,13,13
